Round_Won,TeamRatioUltimatesAll20,EnemyRatioUltimatesAll20,TeamRatioREX50,EnemyRatioREX50,NetHealthShards,NetEnergyShards,NetOrbs,First_Orb,Ultimates,Num_R,Num_EX1,Num_EX2,Control_Received,Control,Protection_Received,Protection,Damage_Received,Damage,Ping,ScorePerSecond
1,1,0,1,1,0.0,6.0,3.0,1.0,2.0,3.0,0.0,0.0,124.0,88.0,278.30002,84.5,473.19998,853.0,15.0,11.026881720430108
0,1,0,1,0,-4.0,-4.0,1.0,1.0,1.0,1.0,0.0,0.0,64.0,42.0,84.25,189.97002,503.0,356.7,20.0,12.524894042553193
1,1,1,1,1,-1.0,-2.0,0.0,1.0,2.0,2.0,1.0,1.0,28.0,6.0,179.0,573.2,267.0,303.36005,35.0,8.568544174757282
0,0,0,0,0,2.0,2.0,-1.0,1.0,1.0,3.0,6.0,1.0,84.0,246.0,324.51,266.68,704.0801,753.3333,30.0,14.386514772727274
1,0,1,0,1,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,44.0,87.0,98.0,66.5,121.0,792.0,20.0,13.702898550724637
1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,32.0,0.0,24.0,100.0,350.0,35.0,3.147286821705426
1,0,1,1,1,-2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,54.0,34.0,105.299995,132.85998999999998,385.75,291.9,50.0,4.059822920353983
1,1,0,1,1,7.0,-3.0,2.0,1.0,1.0,1.0,0.0,0.0,44.0,85.0,84.0,32.0,259.26842999999997,780.0,25.0,9.857142857142858
0,0,0,1,0,-2.0,-5.0,-3.0,0.0,0.0,2.0,0.0,0.0,48.0,47.0,158.0,64.0,476.32977,247.0,0.0,7.16
0,0,0,1,1,-2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,179.0,4.0,156.0,195.0,422.0,604.6666,20.0,7.175594642857143
0,0,1,0,1,0.0,-5.0,1.0,1.0,0.0,1.0,2.0,2.0,48.0,83.0,201.22002,4.0,420.36002,361.95,15.0,7.35983606557377
1,1,0,0,0,2.0,4.0,-2.0,0.0,0.0,1.0,0.0,2.0,30.0,32.0,106.0,291.62732,152.51622,334.54675,25.0,6.328596826923077
1,0,1,1,1,-4.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,43.0,46.0,121.0,0.0,295.0,488.0,165.0,6.068181818181818
1,0,0,1,1,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,49.0,35.0,194.5,107.00001,450.5,428.4,20.0,8.033802957746477
1,1,1,1,1,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,50.0,83.0,211.0,378.0,422.0,389.4,45.0,12.32463768115942
0,1,0,0,1,-2.0,-10.0,0.0,0.0,0.0,1.0,0.0,0.0,56.0,39.0,147.45,0.0,375.45,486.0,45.0,7.954545454545454
1,1,0,1,0,-2.0,-5.0,0.0,1.0,2.0,5.0,0.0,0.0,91.0,193.0,398.40002000000004,277.59393,558.10004,939.5,15.0,15.84375202247191
1,0,1,0,1,0.0,-4.0,0.0,0.0,0.0,2.0,2.0,3.0,69.0,63.0,195.90001,470.10004000000004,392.59997999999996,255.0,35.0,8.660440000000001
0,1,0,1,0,6.0,14.0,4.0,1.0,3.0,4.0,0.0,0.0,82.0,54.0,124.0,97.0,388.0,626.0,30.0,6.876106194690266
0,0,0,0,0,-2.0,-2.0,-2.0,0.0,0.0,1.0,4.0,0.0,80.0,102.0,195.0,167.75,563.85205,362.28463999999997,20.0,8.65800876712329
0,0,1,0,1,-2.0,-2.0,0.0,0.0,0.0,1.0,3.0,0.0,26.0,26.0,107.7,221.99998,318.0,89.0,10.0,9.108107567567567
0,1,1,1,1,2.0,5.0,1.0,1.0,2.0,4.0,4.0,2.0,129.0,193.0,272.55,130.04998999999998,674.0,795.8,35.0,10.07972963963964
1,0,0,0,1,6.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,44.0,80.0,171.29998999999998,249.34,385.2,275.0,45.0,7.951842105263158
1,0,0,1,1,-4.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,148.0,111.0,266.5,57.98242,509.0,664.0,45.0,8.86151510638298
0,0,0,0,1,0.0,-2.0,-2.0,0.0,0.0,1.0,1.0,4.0,66.0,55.0,151.0,69.0,421.79195999999996,252.0,30.0,6.163934426229508
1,1,1,1,1,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,55.0,112.0,245.27002000000002,274.43002,342.0,413.89325,35.0,7.846306568627453
1,0,0,1,1,-2.0,-3.0,-1.0,0.0,0.0,0.0,1.0,0.0,47.0,55.0,238.3178,586.0,312.78656,135.0,35.0,8.0
0,0,0,0,1,3.0,-1.0,-1.0,0.0,0.0,3.0,0.0,0.0,107.0,15.0,218.5,304.5,452.5,189.0,20.0,5.912790697674419
0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,7.0,36.0,79.75,298.4,126.4,205.0,7.894444444444445
0,1,0,1,0,2.0,-1.0,-1.0,1.0,3.0,7.0,0.0,0.0,52.0,115.0,147.32,61.239998,464.32,703.0,75.0,9.353617
0,1,1,1,0,4.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,34.0,76.0,54.0,93.75,291.0,526.0,20.0,7.247395833333333
0,0,0,0,0,-4.0,-4.0,-2.0,0.0,0.0,1.0,1.0,3.0,75.0,73.0,219.0,34.0,435.3896,433.0,20.0,7.9411764705882355
0,0,0,1,1,-4.0,0.0,-2.0,0.0,0.0,0.0,3.0,1.0,85.0,57.0,132.0,126.34245,420.675,356.5671,30.0,10.186972641509433
0,0,0,1,0,0.0,4.0,1.0,1.0,2.0,5.0,0.0,1.0,68.0,76.0,238.5,172.5,476.8,454.0,20.0,9.493243243243244
0,1,1,1,1,2.0,2.0,-2.0,0.0,1.0,5.0,0.0,0.0,75.0,18.0,204.0,166.0,617.0,246.0,70.0,6.935483870967742
0,0,0,1,1,-4.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,56.0,22.0,6.0,88.40001,354.89734,114.0,30.0,4.6750002083333335
0,1,1,1,0,-2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,48.0,34.0,70.05700999999999,216.45847999999998,308.46594,139.7627,55.0,9.074911162790698
1,0,1,1,1,4.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,42.0,44.0,15.0,167.0,190.0,242.0,50.0,5.457831325301205
1,0,1,0,1,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,55.0,46.0,62.0,62.0,283.96414,306.0,60.0,10.097560975609756
0,1,1,1,1,1.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,41.0,21.0,33.1,37.432003,322.26678,142.0,20.0,3.3405333833333333
0,1,0,1,0,-4.0,-12.0,0.0,0.0,4.0,2.0,0.0,0.0,108.0,70.0,154.2,115.6,463.5,668.04,100.0,7.173445378151261
1,1,1,1,1,-2.0,-3.0,0.0,1.0,0.0,2.0,0.0,0.0,15.0,22.0,153.8,378.8,250.40001,136.0,25.0,5.591666666666666
0,0,0,0,1,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,183.0,42.0,287.5,386.5,591.17505,263.11633,40.0,8.23352773809524
0,0,0,0,1,-2.0,4.0,-3.0,0.0,0.0,2.0,2.0,1.0,41.0,61.0,244.79998999999998,336.0,495.97607,192.7,35.0,8.801492537313434
1,0,0,1,1,4.0,-4.0,4.0,1.0,0.0,3.0,3.0,0.0,61.0,51.0,107.5,0.0,322.0,422.0,20.0,5.698795180722891
0,0,0,1,1,-4.0,-4.0,0.0,1.0,0.0,3.0,0.0,0.0,27.0,58.0,78.2,25.0,332.0,242.0,55.0,5.158730158730159
1,0,0,0,0,0.0,1.0,-1.0,0.0,0.0,1.0,2.0,0.0,98.0,65.0,48.0,103.25,295.0,231.20955,40.0,4.389665384615385
1,1,0,1,1,-4.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,30.0,21.0,88.49999,0.0,334.10373,439.0,25.0,11.21951219512195
0,1,0,1,0,1.0,0.0,-1.0,0.0,1.0,2.0,0.0,0.0,118.0,22.0,39.0,9.61,316.8,241.0,35.0,3.5869736842105264
1,0,1,0,1,0.0,0.0,2.0,1.0,0.0,2.0,5.0,3.0,13.0,42.0,60.0,12.0,180.0,453.0,50.0,4.875
1,0,0,0,0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,102.0,70.0,318.25,131.0,531.0,570.50824,25.0,8.572313777777778
0,0,1,1,1,1.0,-2.0,-2.0,0.0,0.0,2.0,1.0,2.0,51.0,16.0,120.0,275.94003,345.0,178.0,50.0,7.965085254237287
1,0,0,1,0,8.0,-2.0,0.0,1.0,0.0,1.0,1.0,0.0,19.0,67.0,74.0,58.5,84.0,268.0,70.0,4.098958333333333
0,1,1,1,1,-6.0,-1.0,2.0,1.0,1.0,2.0,0.0,0.0,38.0,28.0,15.0,0.0,287.0,177.0305,135.0,4.556233333333333
0,0,0,0,0,4.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,86.0,123.0,326.5,453.14995999999996,558.15,407.4,60.0,11.994511707317072
0,1,0,1,0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,34.0,193.0,371.59997999999996,401.80002,125.0,35.0,10.403921176470588
0,0,1,0,1,8.0,2.0,1.0,1.0,0.0,3.0,3.0,4.0,46.0,47.0,208.0,140.5,489.39832,567.06287,30.0,7.860029895833333
1,1,0,1,0,4.0,-2.0,2.0,1.0,2.0,3.0,0.0,0.0,70.0,32.0,245.9,24.0,418.2,418.0,50.0,5.576470588235294
1,1,1,1,0,0.0,3.0,2.0,1.0,4.0,3.0,0.0,0.0,32.0,77.0,149.0,149.2987,378.27057,494.5,40.0,5.587586821705427
0,0,0,1,0,-3.0,2.0,-2.0,0.0,0.0,1.0,0.0,0.0,44.0,26.0,208.0,375.0,434.0,162.0,65.0,11.03921568627451
0,0,0,0,0,4.0,-8.0,0.0,0.0,0.0,3.0,9.0,0.0,248.0,132.0,362.9532,373.29117,883.4758,737.4828,40.0,11.507166388888889
1,1,0,1,1,3.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,73.0,106.0,163.14,50.0,365.18,585.93024,85.0,10.449721690140846
1,0,1,1,0,2.0,2.0,-6.0,0.0,0.0,2.0,0.0,0.0,107.0,126.0,509.0,947.0,648.0,315.0,25.0,14.16326530612245
0,1,0,1,0,1.0,-6.0,0.0,1.0,1.0,2.0,0.0,0.0,214.0,122.0,87.0,422.0,596.0,525.0,50.0,12.28735632183908
0,1,1,0,1,-4.0,-2.0,0.0,1.0,2.0,0.0,1.0,3.0,47.0,33.0,90.0,156.0,320.0,124.0,50.0,7.27906976744186
0,1,0,1,0,0.0,2.0,1.0,1.0,5.0,2.0,0.0,0.0,51.0,64.0,130.4,30.0,368.31625,832.1252400000001,15.0,10.066578695652174
0,0,0,1,0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,99.0,54.0,367.0,606.24994,599.0,286.0,35.0,9.098557115384615
0,0,1,0,1,4.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,29.0,32.0,32.0,32.0,265.0,224.0,35.0,12.521739130434783
1,0,0,1,1,2.0,-2.0,0.0,0.0,0.0,2.0,1.0,0.0,40.0,49.0,79.0,26.0,148.0,366.7037,10.0,4.601080208333333
1,0,0,0,1,0.0,-2.0,0.0,0.0,1.0,4.0,1.0,0.0,34.0,41.0,82.0,15.0,209.0,615.0,90.0,7.373626373626373
1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,25.0,63.0,24.0,235.0,280.0,90.0,3.1941747572815533
0,1,0,1,0,-8.0,2.0,-2.0,1.0,2.0,1.0,0.0,0.0,68.0,65.0,135.20001000000002,82.32001,450.0,347.0,0.0,9.154074259259259
0,1,0,1,0,-2.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,88.0,38.0,107.2,160.55,364.3,202.0,45.0,8.011000000000001
0,0,1,1,1,-6.0,0.0,-5.0,0.0,2.0,6.0,0.0,0.0,77.0,87.0,76.0,44.0,354.0,485.56314000000003,60.0,5.0537962295081975
0,0,0,0,0,-10.0,0.0,1.0,1.0,0.0,6.0,6.0,7.0,96.0,125.0,154.0,177.0,475.24,582.0,40.0,9.714285714285714
1,0,1,1,1,-2.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,71.0,66.0,68.0,79.0,172.0,411.0,75.0,8.553846153846154
