"","Game_ID","Patch_Version","Date","Map","Match_Type","Ranking_Type","Server_Type","Solo_Queue","Season_ID","Region","Limited_MM","Player_Type","Name","User_ID","Champion","Role","Forfeited","Group","User_Leave_Type","Left_During_Round","AFK_Detection","League","Division","Division_Rating","Total_Time_Played","Account_Level","Champion_Level","Champion_Time_Played","Round","Kills","Deaths","Assists","Damage","Damage_Received","Protection","Protection_Received","Control","Control_Received","Energy_Used","Energy_Gained","Abilities_Used","Num_Energy_Used","Orb_Kills","First_Orb","MVP","Round_Length","Round_Won","Total_Score","Highest_Score","Health_Shards","Energy_Shards","Time_Alive","Premade","Queue_Time","Ping","Avatar","Title","Outfit Rarity","Outfit","Attachment Rarity","Attachment","Pose Rarity","Pose","Mount Rarity","Mount","Battlerite 1","Battlerite 2","Battlerite 3","Battlerite 4","Battlerite 5","Battlerites","Team_Comp","Team_Roles","Enemy_Comp","Enemy_Roles","City","Latitude","Longitude","Region Group","Region_Clean"
"1","C1DDF9D7BD544943970EF23A5D19CE77",67104,"2019-07-13","MERIKO SUMMIT - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU West",0,"PLAYER","SC2_Legende","1149823985882644480","SIRIUS","SUPPORT",FALSE,1,"NORMAL",-1,FALSE,"Silver",1,42,"Under 10",0,0,"Under 10",1,1,1,0,176,401,205,130,23,38,75,158,74,3,0,1,FALSE,85,0,404,0,0,0,84,1,126.98427,"30","StarterAvatar_01","Contender","Common","DEFAULT OUTFIT","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Common","RAM","RADIANCE","COSMIC REACH","SUNSCREEN","MOONSTONE","SAROS SLASH","RADIANCE, COSMIC REACH, SUNSCREEN, MOONSTONE, SAROS SLASH","SIRIUS, RUH KAAN","MELEE SUPPORT","ZANDER, RAIGON","MELEE SUPPORT","Luxembourg",49.6116,6.1319,"Europe","EU West"
"2","C1DDF9D7BD544943970EF23A5D19CE77",67104,"2019-07-13","MERIKO SUMMIT - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU West",0,"PLAYER","SC2_Legende","1149823985882644480","SIRIUS","SUPPORT",FALSE,1,"NORMAL",-1,FALSE,"Silver",1,42,"Under 10",0,0,"Under 10",2,0,1,0,148,261.8,76,51,64,21,25,92,32,1,1,1,FALSE,113,1,288,0,0,0,33,1,126.98427,"30","StarterAvatar_01","Contender","Common","DEFAULT OUTFIT","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Common","RAM","RADIANCE","COSMIC REACH","SUNSCREEN","MOONSTONE","SAROS SLASH","RADIANCE, COSMIC REACH, SUNSCREEN, MOONSTONE, SAROS SLASH","SIRIUS, RUH KAAN","MELEE SUPPORT","ZANDER, RAIGON","MELEE SUPPORT","Luxembourg",49.6116,6.1319,"Europe","EU West"
"3","C1DDF9D7BD544943970EF23A5D19CE77",67104,"2019-07-13","MERIKO SUMMIT - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU West",0,"PLAYER","SC2_Legende","1149823985882644480","SIRIUS","SUPPORT",FALSE,1,"NORMAL",-1,FALSE,"Silver",1,42,"Under 10",0,0,"Under 10",3,0,1,0,239.5,343.8,211,102,90,43,75,136.57143,69,3,0,0,FALSE,118,1,540.5,0,0,1,66,1,126.98427,"30","StarterAvatar_01","Contender","Common","DEFAULT OUTFIT","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Common","RAM","RADIANCE","COSMIC REACH","SUNSCREEN","MOONSTONE","SAROS SLASH","RADIANCE, COSMIC REACH, SUNSCREEN, MOONSTONE, SAROS SLASH","SIRIUS, RUH KAAN","MELEE SUPPORT","ZANDER, RAIGON","MELEE SUPPORT","Luxembourg",49.6116,6.1319,"Europe","EU West"
"4","C1DDF9D7BD544943970EF23A5D19CE77",67104,"2019-07-13","MERIKO SUMMIT - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU West",0,"PLAYER","SC2_Legende","1149823985882644480","SIRIUS","SUPPORT",FALSE,1,"NORMAL",-1,FALSE,"Silver",1,42,"Under 10",0,0,"Under 10",4,0,1,0,337,321.4,224,62,83,60,75,156,68,3,0,0,FALSE,70,0,644,0,0,0,69,1,126.98427,"30","StarterAvatar_01","Contender","Common","DEFAULT OUTFIT","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Common","RAM","RADIANCE","COSMIC REACH","SUNSCREEN","MOONSTONE","SAROS SLASH","RADIANCE, COSMIC REACH, SUNSCREEN, MOONSTONE, SAROS SLASH","SIRIUS, RUH KAAN","MELEE SUPPORT","ZANDER, RAIGON","MELEE SUPPORT","Luxembourg",49.6116,6.1319,"Europe","EU West"
"5","C1DDF9D7BD544943970EF23A5D19CE77",67104,"2019-07-13","MERIKO SUMMIT - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU West",0,"PLAYER","SC2_Legende","1149823985882644480","SIRIUS","SUPPORT",FALSE,1,"NORMAL",-1,FALSE,"Silver",1,42,"Under 10",0,0,"Under 10",5,0,1,0,216.5,342.05,223.05,68,8,27,25,71,46,1,0,0,FALSE,57,0,447.55,0,0,0,40,1,126.98427,"30","StarterAvatar_01","Contender","Common","DEFAULT OUTFIT","Common","DEFAULT WEAPON","Common","DEFAULT POSE","Common","RAM","RADIANCE","COSMIC REACH","SUNSCREEN","MOONSTONE","SAROS SLASH","RADIANCE, COSMIC REACH, SUNSCREEN, MOONSTONE, SAROS SLASH","SIRIUS, RUH KAAN","MELEE SUPPORT","ZANDER, RAIGON","MELEE SUPPORT","Luxembourg",49.6116,6.1319,"Europe","EU West"
"6","C1DDF9D7BD544943970EF23A5D19CE77",67104,"2019-07-13","MERIKO SUMMIT - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU West",0,"PLAYER","DerGuffel","778734827917676544","RUH KAAN","MELEE",FALSE,1,"NORMAL",-1,FALSE,"Silver",1,42,"100-200",60,10,"Under 10",1,0,1,0,476,474.84998,172,240,44,38,124.99995,150,56,1,2,1,FALSE,85,0,692,0,1,2,67,1,126.98427,"30","Drop_45","Founder","Common","DEFAULT OUTFIT","Epic","SOUL REAPER","Rare","DARK MAGIC","Epic","BLACK STEED","WICKED STRIKE","REAPER","DEMONIC HUNT","AGONY","GORGE","WICKED STRIKE, REAPER, DEMONIC HUNT, AGONY, GORGE","RUH KAAN, SIRIUS","MELEE SUPPORT","ZANDER, RAIGON","MELEE SUPPORT","Luxembourg",49.6116,6.1319,"Europe","EU West"
"7","C1DDF9D7BD544943970EF23A5D19CE77",67104,"2019-07-13","MERIKO SUMMIT - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU West",0,"PLAYER","DerGuffel","778734827917676544","RUH KAAN","MELEE",FALSE,1,"NORMAL",-1,FALSE,"Silver",1,42,"100-200",60,10,"Under 10",2,2,0,0,806,396,188,262,70,56,300.00046,375.99997,101,4,2,1,TRUE,113,1,1064,1,2,0,-200,1,126.98427,"30","Drop_45","Founder","Common","DEFAULT OUTFIT","Epic","SOUL REAPER","Rare","DARK MAGIC","Epic","BLACK STEED","WICKED STRIKE","REAPER","DEMONIC HUNT","AGONY","GORGE","WICKED STRIKE, REAPER, DEMONIC HUNT, AGONY, GORGE","RUH KAAN, SIRIUS","MELEE SUPPORT","ZANDER, RAIGON","MELEE SUPPORT","Luxembourg",49.6116,6.1319,"Europe","EU West"
"8","C1DDF9D7BD544943970EF23A5D19CE77",67104,"2019-07-13","MERIKO SUMMIT - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU West",0,"PLAYER","DerGuffel","778734827917676544","RUH KAAN","MELEE",FALSE,1,"NORMAL",-1,FALSE,"Silver",1,42,"100-200",60,10,"Under 10",3,2,0,0,690,562.72253,260,365,80,58,300.0004,300,95,4,1,0,TRUE,118,1,1030,0,2,0,-352,1,126.98427,"30","Drop_45","Founder","Common","DEFAULT OUTFIT","Epic","SOUL REAPER","Rare","DARK MAGIC","Epic","BLACK STEED","WICKED STRIKE","REAPER","DEMONIC HUNT","AGONY","GORGE","WICKED STRIKE, REAPER, DEMONIC HUNT, AGONY, GORGE","RUH KAAN, SIRIUS","MELEE SUPPORT","ZANDER, RAIGON","MELEE SUPPORT","Luxembourg",49.6116,6.1319,"Europe","EU West"
"9","C1DDF9D7BD544943970EF23A5D19CE77",67104,"2019-07-13","MERIKO SUMMIT - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU West",0,"PLAYER","DerGuffel","778734827917676544","RUH KAAN","MELEE",FALSE,1,"NORMAL",-1,FALSE,"Silver",1,42,"100-200",60,10,"Under 10",4,0,1,0,172,367.15002,36,116,17,58,25,73,29,1,0,0,FALSE,70,0,225,0,2,2,48,1,126.98427,"30","Drop_45","Founder","Common","DEFAULT OUTFIT","Epic","SOUL REAPER","Rare","DARK MAGIC","Epic","BLACK STEED","WICKED STRIKE","REAPER","DEMONIC HUNT","AGONY","GORGE","WICKED STRIKE, REAPER, DEMONIC HUNT, AGONY, GORGE","RUH KAAN, SIRIUS","MELEE SUPPORT","ZANDER, RAIGON","MELEE SUPPORT","Luxembourg",49.6116,6.1319,"Europe","EU West"
"10","C1DDF9D7BD544943970EF23A5D19CE77",67104,"2019-07-13","MERIKO SUMMIT - DAY","QUICK2V2","UNRANKED","2V2",0,14,"EU West",0,"PLAYER","DerGuffel","778734827917676544","RUH KAAN","MELEE",FALSE,1,"NORMAL",-1,FALSE,"Silver",1,42,"100-200",60,10,"Under 10",5,0,1,0,336,473.30002,146,203,27,61,150.00002,159,48,2,0,0,FALSE,57,0,509,0,0,2,56,1,126.98427,"30","Drop_45","Founder","Common","DEFAULT OUTFIT","Epic","SOUL REAPER","Rare","DARK MAGIC","Epic","BLACK STEED","WICKED STRIKE","REAPER","DEMONIC HUNT","AGONY","GORGE","WICKED STRIKE, REAPER, DEMONIC HUNT, AGONY, GORGE","RUH KAAN, SIRIUS","MELEE SUPPORT","ZANDER, RAIGON","MELEE SUPPORT","Luxembourg",49.6116,6.1319,"Europe","EU West"
