Game_ID,Patch_Version,Date,Match_Type,Ranking_Type,Server_Type,Season_ID,Region,Player_Type,User_ID,Name,Forfeited,Group,User_Leave_Type,Left_During_Round,AFK_Detection,Division,Division_Rating,Account_Level,Champion_Level,Round,Kills,Deaths,Assists,Damage,Damage_Received,Protection,Protection_Received,Control,Control_Received,Energy_Used,Energy_Gained,Abilities_Used,Orb_Kills,MVP,Round_Length,Round_Won,URL,Map,Role,Champion,Avatar,Title,Outfit Rarity,Outfit,Attachment Rarity,Attachment,Pose Rarity,Pose,Mount Rarity,Mount,Battlerite 1,Battlerite 2,Battlerite 3,Battlerite 4,Battlerite 5,Battlerites,League,City,Latitude,Longitude
AAFCB8C8CEAB46D09F5111F791DD58C5,67104,2019-07-17T00:07:31Z,QUICK2V2,UNRANKED,QUICK2V2,14,south_america,PLAYER,779913459524599808,Vulkar,True,2,LEAVER,0,False,4,51,37,13,1,0.0,1.0,0.0,134.0,346.0,65.39999399999999,99.0,11.0,32.0,0.0,90.0,35.0,0.0,False,57.0,0.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/00/26/7871416c-a829-11e9-be5f-0a586460069f-telemetry.json,MISTY WOODS - DAY,MELEE,CROAK,Christmas_13,Founder,Legendary,SHADOW BLADE,Legendary,POISONOUS DEATHBLADES,Legendary,DAB OF PRIDE AND ACCOMPLISHMENT,Legendary,RAZER SERPENT,JUNGLE TOAD,FROG SLICE,TRICKERY,SLIPPERY SKIN,TIME TO STRIKE,"JUNGLE TOAD, FROG SLICE, TRICKERY, SLIPPERY SKIN, TIME TO STRIKE",Platinum,Sao Paulo,-23.5338,-46.6253
AAFCB8C8CEAB46D09F5111F791DD58C5,67104,2019-07-17T00:07:31Z,QUICK2V2,UNRANKED,QUICK2V2,14,south_america,PLAYER,982298833000271872,STARKSAN,True,1,NORMAL,-1,False,1,49,222,15,1,0.0,1.0,0.0,221.0,334.0,61.0,76.0,22.0,117.0,0.0,90.0,26.0,1.0,False,57.0,0.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/00/26/7871416c-a829-11e9-be5f-0a586460069f-telemetry.json,MISTY WOODS - DAY,MELEE,RAIGON,Drop_67,The Unwavering Light,Epic,THE PRINCE OF QUNA,Legendary,RADIANT DRAGON BLADE,Rare,OVER THE SHOULDER,Epic,STOIC GRYPHON,PERILOUS HEIGHT,ROYAL DESCENT,INVIGORATE,DRAGON MASTERY,OVERFLOWING POWER,"PERILOUS HEIGHT, ROYAL DESCENT, INVIGORATE, DRAGON MASTERY, OVERFLOWING POWER",Platinum,Sao Paulo,-23.5338,-46.6253
AAFCB8C8CEAB46D09F5111F791DD58C5,67104,2019-07-17T00:07:31Z,QUICK2V2,UNRANKED,QUICK2V2,14,south_america,PLAYER,953486720932966400,HaHayz77,False,3,NORMAL,-1,False,5,28,306,20,1,2.0,0.0,0.0,282.0,154.0,199.0,143.0,84.0,19.0,75.0,128.0,58.0,0.0,False,57.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/00/26/7871416c-a829-11e9-be5f-0a586460069f-telemetry.json,MISTY WOODS - DAY,SUPPORT,PESTILUS,ui_bps02_avatar_diamond,Lord of the Swarm,Legendary,EYE OF THE DEPTHS,Epic,CORRUPTED AMBER STAFF,Rare,PRAISE ME,Epic,VOLCANIC LOKUM NAUTILUS,COLONY,SCOURGE,SWARM QUEEN,SACRIFICE,EGG CARRIER,"COLONY, SCOURGE, SWARM QUEEN, SACRIFICE, EGG CARRIER",Diamond,Sao Paulo,-23.5338,-46.6253
AAFCB8C8CEAB46D09F5111F791DD58C5,67104,2019-07-17T00:07:31Z,QUICK2V2,UNRANKED,QUICK2V2,14,south_america,PLAYER,928475494624669696,Surianda,False,3,NORMAL,-1,False,5,28,604,20,1,0.0,0.0,0.0,428.0,202.0,72.4,165.0,65.0,14.0,100.0,172.0,72.0,0.0,True,57.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/00/26/7871416c-a829-11e9-be5f-0a586460069f-telemetry.json,MISTY WOODS - DAY,MELEE,CROAK,ui_bps02_avatar_grandchampion,The Ranid Assassin,Legendary,SAURIAN TRIBAL WARRIOR,Epic,PREDATOR'S TROPHIES,Rare,FIRE BAD,Rare,YOUNG FEATHERED STRIDER,SPIT SPIT SPIT,TRIPLE STRIKE,TIME TO STRIKE,SLIPPERY SKIN,NOXIOUS REACTION,"SPIT SPIT SPIT, TRIPLE STRIKE, TIME TO STRIKE, SLIPPERY SKIN, NOXIOUS REACTION",Diamond,Sao Paulo,-23.5338,-46.6253
FE614C822AAF4690A705E865A4BE99C4,67104,2019-07-17T00:09:55Z,QUICK2V2,UNRANKED,QUICK2V2,14,south_america,PLAYER,944014139003645952,vSequela,True,1,LEAVER,1,False,2,42,0,3,1,0.0,1.0,0.0,663.0,435.0,306.0,200.0,42.0,129.0,150.0,174.0,110.0,0.0,False,124.0,0.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/00/26/7f596298-a829-11e9-99d4-0a5864600d24-telemetry.json,THE GREAT MARKET - NIGHT,MELEE,SHIFU,Drop_26,Contender,Common,DEFAULT OUTFIT,Common,DEFAULT WEAPON,Common,DEFAULT POSE,Common,RAM,MANTRA,CEREMONIAL SPEAR,POISED TO STRIKE,JAVELIN MASTER,SPEAR DANCE,"MANTRA, CEREMONIAL SPEAR, POISED TO STRIKE, JAVELIN MASTER, SPEAR DANCE",Silver,Sao Paulo,-23.5338,-46.6253
FE614C822AAF4690A705E865A4BE99C4,67104,2019-07-17T00:09:55Z,QUICK2V2,UNRANKED,QUICK2V2,14,south_america,PLAYER,944014139003645952,vSequela,True,1,LEAVER,1,False,2,42,0,3,2,0.0,0.0,0.0,189.0,239.0,88.0,84.0,10.0,68.0,25.0,48.0,32.0,0.0,False,44.0,0.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/00/26/7f596298-a829-11e9-99d4-0a5864600d24-telemetry.json,THE GREAT MARKET - NIGHT,MELEE,SHIFU,Drop_26,Contender,Common,DEFAULT OUTFIT,Common,DEFAULT WEAPON,Common,DEFAULT POSE,Common,RAM,MANTRA,CEREMONIAL SPEAR,POISED TO STRIKE,JAVELIN MASTER,SPEAR DANCE,"MANTRA, CEREMONIAL SPEAR, POISED TO STRIKE, JAVELIN MASTER, SPEAR DANCE",Silver,Sao Paulo,-23.5338,-46.6253
FE614C822AAF4690A705E865A4BE99C4,67104,2019-07-17T00:09:55Z,QUICK2V2,UNRANKED,QUICK2V2,14,south_america,PLAYER,1151260387262504960,Jacarék2,True,1,LEAVER,1,False,2,42,0,2,1,1.0,1.0,0.0,481.95,220.0,0.0,0.0,41.0,30.0,125.0,165.0,128.0,0.0,False,124.0,0.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/00/26/7f596298-a829-11e9-99d4-0a5864600d24-telemetry.json,THE GREAT MARKET - NIGHT,RANGED,JADE,Drop_21,Contender,Rare,OLIVE,Common,DEFAULT WEAPON,Common,DEFAULT POSE,Common,RAM,DEADLY FOCUS,EVASIVE MEASURES,THROUGH THE SHADOWS,DESPERADO,GUNSLINGER,"DEADLY FOCUS, EVASIVE MEASURES, THROUGH THE SHADOWS, DESPERADO, GUNSLINGER",Silver,Sao Paulo,-23.5338,-46.6253
FE614C822AAF4690A705E865A4BE99C4,67104,2019-07-17T00:09:55Z,QUICK2V2,UNRANKED,QUICK2V2,14,south_america,PLAYER,1151260387262504960,Jacarék2,True,1,LEAVER,1,False,2,42,0,2,2,0.0,1.0,0.0,116.0,222.0,0.0,0.0,20.0,52.0,25.0,54.0,46.0,0.0,False,44.0,0.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/00/26/7f596298-a829-11e9-99d4-0a5864600d24-telemetry.json,THE GREAT MARKET - NIGHT,RANGED,JADE,Drop_21,Contender,Rare,OLIVE,Common,DEFAULT WEAPON,Common,DEFAULT POSE,Common,RAM,DEADLY FOCUS,EVASIVE MEASURES,THROUGH THE SHADOWS,DESPERADO,GUNSLINGER,"DEADLY FOCUS, EVASIVE MEASURES, THROUGH THE SHADOWS, DESPERADO, GUNSLINGER",Silver,Sao Paulo,-23.5338,-46.6253
FE614C822AAF4690A705E865A4BE99C4,67104,2019-07-17T00:09:55Z,QUICK2V2,UNRANKED,QUICK2V2,14,south_america,PLAYER,1000942041494126592,Alisu_Senpai,False,2,NORMAL,-1,False,2,54,39,12,1,1.0,0.0,0.0,390.0,554.95,321.0,454.5,126.0,59.0,231.25,250.0,55.0,2.0,True,124.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/00/26/7f596298-a829-11e9-99d4-0a5864600d24-telemetry.json,THE GREAT MARKET - NIGHT,SUPPORT,BLOSSOM,Drop_10,Contender,Legendary,MOONLIGHT PRINCESS,Epic,WITHERED STAFF,Common,DEFAULT POSE,Rare,MAGNIFICENT MOOSE,POLLEN,KINDHEARTED,SPRING GROWTH,BOUNTIFUL TREE,NATURE'S CYCLE,"POLLEN, KINDHEARTED, SPRING GROWTH, BOUNTIFUL TREE, NATURE'S CYCLE",Silver,Sao Paulo,-23.5338,-46.6253
FE614C822AAF4690A705E865A4BE99C4,67104,2019-07-17T00:09:55Z,QUICK2V2,UNRANKED,QUICK2V2,14,south_america,PLAYER,1000942041494126592,Alisu_Senpai,False,2,NORMAL,-1,False,2,54,39,12,2,1.0,0.0,0.0,295.0,47.0,57.5,28.0,80.0,8.0,100.0,129.46428,26.0,1.0,False,44.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/00/26/7f596298-a829-11e9-99d4-0a5864600d24-telemetry.json,THE GREAT MARKET - NIGHT,SUPPORT,BLOSSOM,Drop_10,Contender,Legendary,MOONLIGHT PRINCESS,Epic,WITHERED STAFF,Common,DEFAULT POSE,Rare,MAGNIFICENT MOOSE,POLLEN,KINDHEARTED,SPRING GROWTH,BOUNTIFUL TREE,NATURE'S CYCLE,"POLLEN, KINDHEARTED, SPRING GROWTH, BOUNTIFUL TREE, NATURE'S CYCLE",Silver,Sao Paulo,-23.5338,-46.6253
FE614C822AAF4690A705E865A4BE99C4,67104,2019-07-17T00:09:55Z,QUICK2V2,UNRANKED,QUICK2V2,14,south_america,PLAYER,940308629112946688,kaboosnick,False,2,NORMAL,-1,False,2,54,21,0,1,1.0,1.0,0.0,358.0,352.0,80.0,113.0,33.0,24.0,100.000015,121.0,62.0,0.0,False,124.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/00/26/7f596298-a829-11e9-99d4-0a5864600d24-telemetry.json,THE GREAT MARKET - NIGHT,MELEE,RUH KAAN,Drop_21,Contender,Legendary,CORRUPTED TREANT,Common,SACRED BONE SICKLE,Common,DEFAULT POSE,Epic,ARMORED BLACK BEAR,LEECH BLADE,AGONY,NETHER CHAINS,GORGE,COLD EMBRACE,"LEECH BLADE, AGONY, NETHER CHAINS, GORGE, COLD EMBRACE",Silver,Sao Paulo,-23.5338,-46.6253
FE614C822AAF4690A705E865A4BE99C4,67104,2019-07-17T00:09:55Z,QUICK2V2,UNRANKED,QUICK2V2,14,south_america,PLAYER,940308629112946688,kaboosnick,False,2,NORMAL,-1,False,2,54,21,0,2,0.0,0.0,0.0,236.0,229.0,54.0,137.5,40.0,22.0,52.040005,100.0,36.0,0.0,False,44.0,1.0,https://cdn.developer.battlerite.com/stunlock-studios-battlerite/global/2019/07/17/00/26/7f596298-a829-11e9-99d4-0a5864600d24-telemetry.json,THE GREAT MARKET - NIGHT,MELEE,RUH KAAN,Drop_21,Contender,Legendary,CORRUPTED TREANT,Common,SACRED BONE SICKLE,Common,DEFAULT POSE,Epic,ARMORED BLACK BEAR,LEECH BLADE,AGONY,NETHER CHAINS,GORGE,COLD EMBRACE,"LEECH BLADE, AGONY, NETHER CHAINS, GORGE, COLD EMBRACE",Silver,Sao Paulo,-23.5338,-46.6253
